ID_W,WAVE OF SURVEY=YEAR
M22.1,# MEMBER 1 WHO HELPS DRESS_EAT
M22.2,# MEMBER 2 WHO HELPS DRESS_EAT
M22.3,# MEMBER 3 WHO HELPS DRESS_EAT
M23,OUTSIDERS HELP DRESS_EAT?
M24.1,RELATIVES HELP DRESS_EAT?
M24.2,NEIGHBORS HELP DRESS_EAT?
M24.3,SOCIAL WORKERS HELP DRESS_EAT?
M24.4,SERVICE WORKERS HELP DRESS_EAT?
M24.5,OTHERS HELP DRESS_EAT?
M25,PAYS FOR HELP DRESSING_EATING?
M26,NEEDS HELP SHOPPING?
M27,HH MEMBERS HELP SHOP?
M28.1,# MEMBER 1 WHO HELPS SHOP
M28.2,# MEMBER 2 WHO HELPS SHOP
M28.3,# MEMBER 3 WHO HELPS SHOP
M29,OUTSIDERS HELP SHOP?
M30.1,RELATIVES HELP SHOP?
M30.2,NEIGHBORS HELP SHOP?
M30.3,SOCIAL WORKERS HELP SHOP?
M30.4,SERVICE WORKERS HELP SHOP?
M30.5,OTHERS HELP SHOP?
M31,PAYS FOR HELP SHOPPING?
M32,TOOK MEDICINES IN LAST 7 DAYS?
M34,TOOK MULTI-VITAMINS IN LAST 7 DAYS?
M35,INDIV. VITAMINS IN LAST 7 DAYS?
M36.1,TOOK VITAMIN A L7D?
M36.2,TOOK B-COMPLEX VITAMINS L7D?
M36.3,TOOK VITAMIN C L7D?
M36.4,TOOK VITAMIN D L7D?
M36.5,TOOK VITAMIN E L7D?
M36.6,TOOK OTHER VITAMINS L7D?
M37,TOOK MINERAL SUPPLEMENTS LAST 7D?
M38.1,TOOK CALCIUM L7D?
M38.2,TOOK IRON L7D?
M38.3,TOOK SELENIUM L7D?
M38.4,TOOK GERBOLIFE L7D?
M38.5,TOOK OTHER MINERALS L7D?
M39,HAD AN OPERATION IN LAST 12M?
M39_2Y,HAD AN OPERATION IN LAST 2 YEARS?
M40.1,OPERATION ON LUNGS_BRONCHIA?
M40.2,OPERATION ON STOMACH?
M40.3,OPERATION ON KIDNEY_LIVER?
M40A2,OPERATION ON STOMACH IN LAST 2 YEARS?
M40A3,OPERATION ON KIDNEY_LIVER IN LAST 2 YEARS?
M40A4,OPERATION ON SMALL INTESTINE IN LAST 2 YEARS?
M40A5,OPERATION ON LARGE INTESTINE IN LAST 2 YEARS?
M40A6,OPERATION ON BREAST IN LAST 2 YEARS?
M40A7,OPERATION ON CERVIX IN LAST 2 YEARS?
M40A8,OPERATION ON UTERUS IN LAST 2 YEARS?
M40A9,OPERATION ON PROSTATE IN LAST 2 YEARS?
M40A10,OPERATION ON OTHER ORGANS IN LAST 2 YEARS?
M41,TYPE OF FACILITY LAST OPERATION
M42.1,POST-OPERATION MASSAGE?
M42.2,POST-OPERATION RADIATION?
M42.3,POST-OPERATION CHEMOTHERAPY?
M42.4,POST-OP. OTHER TREATMENT?
M43,EVER DIAGNOSED WITH DIABETES?
M44,YEAR DIAGNOSED WITH DIABETES
M45.1,DIABETES TREATMENT--DIET?
M45.2,DIABETES TREATMENT--WEIGHT?
M45.3,DIABETES TREATMENT--PILLS?
M45.4,DIABETES TREATMENT--INSULIN?
M45.5,DIABETES TREATMENT--HERBS?
M45.6,DIABETES TREATMENT--HOMEOPATHY?
M45.7,DIABETES TREATMENT--OTHER?
M46,EVER DIAGNOSED WITH HEART ATTACK?
M47,YEAR OF MOST RECENT HEART ATTACK
M48,EVER EXPERIENCED CHEST PAINS?
M49,CHEST PAINS WHEN ACTIVE?
M50,RESPONSE TO CHEST PAINS
M51,CHEST PAINS STOP IF ACTIV. STOPS?
M52,SPEED WITH WHICH CHEST PAINS STOP
M53,WILL SHOW CHEST PAIN LOCATION?
M54.1,PAIN IN UPPER_MIDDLE OF CHEST?
M54.2,PAIN IN LOWER 3RD OF RIBS?
M54.3,PAIN IN LEFT SIDE OF RIBS?
M54.4,PAIN IN LEFT ARM?
M54.5,PAIN SOMEWHERE ELSE?
M55,MOST FREQUENT TYPE OF CHEST PAIN
M56,SEVERE PAIN >30 MINUTES IN LAST 12M?
M56_2Y,SEVERE PAIN >30 MINUTES LAST 2Y?
M57,SAW DOCTOR ABOUT CHEST PAIN?
M58,DIAGNOSIS REGARDING CHEST PAIN
M58.1,MD SAYS HIGH BLOOD PRESSURE?
M58.2A,HIGHEST SYSTOLIC MEASURE
M58.2B,HIGHEST DIASTOLIC MEASURE
M58.3.1,HEADACHES L12M?
M62.3,EVER DIAGNOSED W_HEPATITIS?
M62.4,YEAR DIAGNOSED W_ HEPATITIS
M62.5,TYPE OF HEPATITIS
M62.51,"WHAT TYPE OF HEPATITIS DID YOU HAVE? IF YOU WERE DIAGNOSED WITH IT MORE THAN ONCE, PLEASE NAME ALL TYPES"
M62.52,"WHAT TYPE OF HEPATITIS DID YOU HAVE? IF YOU WERE DIAGNOSED WITH IT MORE THAN ONCE, PLEASE NAME ALL TYPES "
M62.53,"WHAT TYPE OF HEPATITIS DID YOU HAVE? IF YOU WERE DIAGNOSED WITH IT MORE THAN ONCE, PLEASE NAME ALL TYPES"
M62.56,"WHAT TYPE OF HEPATITIS DID YOU HAVE? IF YOU WERE DIAGNOSED WITH IT MORE THAN ONCE, PLEASE NAME ALL TYPES"
M131,HAD DEPRESSION IN LAST 12M?
M140,HAVE YOU EVER BEEN TESTED TO LEARN WHETHER YOU HAVE AN HIV INFECTION–THE VIRU THAT CAUSES AIDS?
M141,WHERE DID YOU TEST FOR AN HIV INFECTION–THE VIRUS THAT CAUSES AIDS?
M142,WHEN HAVE YOU BEEN INFORMED ABOUT THE TEST`S RESULT?
M63,QUALITY OF EYESIGHT
M64,WEARS GLASSES_CONTACT LENSES?
M65,QUALITY OF HEARING
M66,USES A HEARING AID?
M66.1,SELF-EVALUATION OF MEMORY
M66.2,MEMORY CHANGES IN LAST YEAR
M66.3.1,"MEMORY TEST 1, WORD 1"
M66.3.2,"MEMORY TEST 1, WORD 2"
M66.3.3,"MEMORY TEST 1, WORD 3"
M66.3.4,"MEMORY TEST 1, WORD 4"
M66.3.5,"MEMORY TEST 1, WORD 5"
M66.3.6,"MEMORY TEST 1, WORD 6"
M66.3.7,"MEMORY TEST 1, WORD 7"
M66.3.8,"MEMORY TEST 1, WORD 8"
M66.3.9,"MEMORY TEST 1, WORD 9"
M66.3.0,"MEMORY TEST 1, WORD 10"
M66.397,"MEMORY TEST 1, DK_RTA"
M66.4,MEMORY TEST--TODAY`S DATE
M66.5,MEMORY TEST--CURRENT MONTH
M66.6,MEMORY TEST--CURRENT YEAR
M66.7,MEMORY TEST--DAY OF WEEK
M66.8,MEMORY TEST--COUNTING BACKWARDS
M66.9,MEMORY TEST--HOW TO CUT PAPER
M66.10,MEMORY TEST--RUSSIAN PRESIDENT
M66.11,MEMORY TEST--PRIME MINISTER
M66.12,MEMORY TEST--SUBTRACTION #1
M66.13,MEMORY TEST--SUBTRACTION #2
M66.14,MEMORY TEST--SUBTRACTION #3
M66.15,MEMORY TEST--SUBTRACTION #4
M66.16,MEMORY TEST--SUBTRACTION #5
M661701,"MEMORY TEST 2, WORD 1"
M661702,"MEMORY TEST 2, WORD 2"
M661703,"MEMORY TEST 2, WORD 3"
M661704,"MEMORY TEST 2, WORD 4"
M661705,"MEMORY TEST 2, WORD 5"
M661706,"MEMORY TEST 2, WORD 6"
M661707,"MEMORY TEST 2, WORD 7"
M661708,"MEMORY TEST 2, WORD 8"
M661709,"MEMORY TEST 2, WORD 9"
M661710,"MEMORY TEST 2, WORD 10"
M661797,"MEMORY TEST 2, DK_RTA"
M67,DRINKS TEA?
M68,TEA-DRINKING FREQUENCY LAST 30 DAYS
M69,DRINKS COFFEE?
M70,COFFEE-DRINKING FREQUENCY LAST 30D
M71,SMOKES?
M72,AGE AT WHICH STARTED SMOKING
M73,SMOKED IN LAST 7 DAYS?
M74,MATERIAL SMOKED MOST OFTEN
M75,NUMBER OF CIGARETTES PER DAY
M149,PRICE YOU USUALLY BUY A PACK OF CIGARETTES?
M150,IF THE PRICES FOR CIGARETTES GROW TWICE?
M76,GRAMS OF PIPE TOBACCO PER DAY
M77,EVER SMOKED?
M78,# OF YEARS AGO QUIT SMOKING
M147,APPROXIMATE OR DEFINITE ANSWER?
M148_A,MORE DEFINITE # YEAR OLD WHEN QUITED SMOKING
M148_B,MORE DEFINITE # OF YEARS AGO QUIT SMOKING
M79,AGE AT WHICH STARTED SMOKING
M80,DRANK ALCOHOL IN LAST 30 DAYS?
M80.0,CONSUME ALCOHOLIC BEVERAGES?
M80.1,DRANK BEER IN LAST 30 DAYS?
M80.2,"HOW OLD WERE YOU, WHEN YOU FIRST CONSUMED ALCOHOLIC BEVERAGES, INCLUDING BE"
M189,IN THE LAST 30 DAYS DID YOU DRINK NON-ALCOHOLIC BEER?
M190,IN THE LAST 30 DAYS HAVE YOU CONSUMED BEER CONTAINING ALCOHOL?
M81,ALCOHOL-USE FREQUENCY LAST 30D
M82.1,DRINKS ALCOHOL BEFORE MEALS?
M82.2,DRINKS ALCOHOL DURING MEALS?
M82.3,DRINKS ALCOHOL WITHOUT EATING?
M83.1,DRINKS ALCOHOL AT HOME?
M83.2,DRINKS ALCOHOL IN BARS?
M83.3,DRINKS ALCOHOL IN PARK_STREET?
M83.4,DRINKS ALCOHOL AT WORK?
M83.5,DRINKS ALCOHOL AS A GUEST?
M84112B,HOMEMADE BEER PER DAY - GRAMS
M84112D,DAYS PER MONTH DRANK HOMEMADE BEER
M84.12A,BRAGA
M84.12B,BRAGA PER DAY - GRAMS
M84.12D,DAYS PER MONTH DRANK BRAGA
M84.8A,HOMEMADE WINE PER DAY
M84.8B,HOMEMADE WINE  PER DAY - GRAMS
M84.8D,DAYS PER MONTH DRANK HOMEMADE WINE
M84.2A,DRINKS DRY WINE?
M84.2B,GRAMS OF DRY WINE
M84.2D,DAYS PER MONTH DRANK DRY WINE
M84.21A,"DRY WINE, CHAMPAGNE INDUSTRIAL PRODUCTION"
M84.21B,DRY WINE  PER DAY - GRAMS
M84.21D,DAYS PER MONTH DRANK DRY WINE
M84.3A,DRINKS FORTIFIED WINE?
M84.3B,GRAMS OF FORTIFIED WINE
M84.3D,DAYS PER MONTH DRANK FORTIFIED WINE
M84.31A,FORTIFIED WINE INDUSTRIAL PRODUCTION
M84.31B,FORTIFIED WINE INDUSTRIAL PRODUCTION PER DAY - GRAMS
M84.31D,DAYS PER MONTH DRANK FORTIFIED WINE  INDUSTRIAL PRODUCTION
M84.4A,DRINKS HOMEMADE LIQUOR?
M84.4B,GRAMS OF HOMEMADE LIQUOR
M84.4D,DAYS PER MONTH HOMEMADE LIQUOR
M84.5A,DRINKS VODKA_HARD LIQUOR?
M84.5B,GRAMS OF VODKA_HARD LIQUOR
M84.5D,DAYS PER MONTH HOMEMADE LIQUOR
M84.9A,"BRANDY, WHISKEY, LIQUEURS"
M84.9B,"BRANDY, WHISKEY, LIQUEURS PER DAY - GRAMS"
M84.9D,"DAYS PER MONTH DRANK BRANDY, WHISKEY, LIQUEURS"
M84.7A,COCKTAILS CONTAINING ALCOHOL
M144.1,THINK THAT INCREASE OF TAKING ALCOHOLIC DRINKS IN THE COUNTRY THREATEN THE FUTURE OF YOUR FAMILY?
M144.2,THINK THAT INCREASE OF TAKING ALCOHOLIC DRINKS IN THE COUNTRY THREATEN THE FUTURE OF YOUR SETTLEMENT?
M144.3,THINK THAT INCREASE OF TAKING ALCOHOLIC DRINKS IN THE COUNTRY THREATEN THE FUTURE OF THE COUNTRY?
M145,THINK THAT AUTHORITIES SHOULD TAKE MEASURES AGAINST HARD DRINKING AND ALCOHOLISM?
M156.1,"DO YOU THINK THAT DUE TO YOUR DRINKING, YOU HAVE PROBLEMS IN THE FAMILY"
M156.2,"DO YOU THINK THAT DUE TO YOUR DRINKING, YOU HAVE PROBLEMS AT WORK, WITH STUD"
M156.3,"DO YOU THINK THAT DUE TO YOUR DRINKING, YOU HAVE PROBLEMS WITH HEALTH"
M156.4,"DO YOU THINK THAT DUE TO YOUR DRINKING, YOU HAVE PROBLEMS OTHER PROBLEMS"
M157,"IF THE PRICE OF ALCOHOLIC BEVERAGES, WHICH YOU USUALLY DRINK, WILL GROW BY A THIRD, YOU WILL�"
M158,"IN THE LAST 30 DAYS HAVE YOU PERSONALLY BOUGHT ALCOHOLIC BEVERAGES, NOT ONLY THEMSELVES?"
M159,"HOW MUCH MONEY DO YOU PERSONALLY HAVE SPENT IN THE L30 D FOR THE PURCHASE OF ALCOHOLIC BEVERAGES, NOT ONLY FOR THEMSELVES?"
M160.1,HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS BEER
M160.2,"HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS DRY, SEMI-DRY WINE, CHAMPAG INDUSTRIAL PRODUCTION"
M160.3,HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS FORTIFIED WINE OF INDUSTRIAL PRODUCTION
M160.4,HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS VODKA
M160.5,"HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS BRANDY, WHISKEY, LIQUEURS"
M160.6,"HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS HOMEMADE BEER, HOME-BREWE BEER"
M160.7,"HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS HOMEMADE WINE ANY - GRAPE, FRUIT, ETC."
M160.8,HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS HOMEMADE LIQUOR
M160.9,"HAVE YOU PERSONALLY PURCHASED IN THE LAST 30 DAYS SOMETHING ELSE, WHAT?"
M161,WHAT WAS THE MINIMUM PRICE FOR A HALF-LITER BOTTLE OF VODKA?
M162,"HAVE YOU PERSONALLY IN THE LAST 30 DAYS BOUGHT A FAKE ALCOHOL, IN YOUR OPINION"
M163,DID YOU KNOW THAT BUYING COUNTERFEIT ALCOHOL?
M165.1,"ARE THERE IN YOUR SETTLEMENT PLACES, WHERE YOU CAN ALWAYS BUY ALCOHOLIC BEVERAGES IN THE AFTERNOON AND EVENING"
M165.2,"ARE THERE IN YOUR SETTLEMENT PLACES, WHERE YOU CAN ALWAYS BUY ALCOHOLIC BEVERAGES AT NIGHT"
M169,"AMONG YOUR NEIGHBORS OR FRIENDS, ARE THERE PEOPLE WHO AT LEAST SOMETIMES DRI ALCOHOL SURROGATES?"
M151,EAT OUT FREQUENCY?
M152,MANAGE TO HAVE MEAL REGULARY?
M153,"DID YOU DRINK ALCOHOLIC BEVERAGES WHICH, IN YOUR OPINION, WERE FAKE, IN THE LA 30 DAYS?"
M85,QUALITY OF DRINKING WATER
M86,HOW WATER QUALITY HAS CHANGED--L12M
M86Y,HOW WATER QUALITY HAS CHANGED--LAST FEW YEARS
M87,QUALITY OF AIR
M88,HOW AIR QUALITY HAS CHANGED?--L12M
M88Y,HOW AIR QUALITY HAS CHANGED?--LAST FEW YEARS?
M89,GARBAGE DISPOSAL CENTRAL AREA--L12M?
M90,HOW GARBAGE COLLECTION CHANGED--L12M?
M90Y,YOUR TRASH COLLECTION HAS GOTTEN--LAST FEW YEARS?
M91,FAMILY MEMBER CHRONICALLY ILL?
M92,EFFECT OF ENVIRONMENT ON ILLNESS
M93,ADDED METHOD TO CLEAN WATER--L12M?
M93Y,ADDED METHOD TO CLEAN WATER--LAST FEW YEARS?
M94,ADDED METHOD TO CLEAN AIR?--L12M
M94Y,ADDED METHOD TO CLEAN AIR?--LAST FEW YEARS?
M95,WOULD PAY FOR CLEANER AIR_WATER?
M96,COUGH IN LAST 7 DAYS?
M97,COLD IN LAST 7 DAYS?
M98,EARACHE IN LAST 7 DAYS?
M99,SORE THROAT IN LAST 7 DAYS?
M100,TEETHING IN LAST 7 DAYS?
M101,DIARRHEA IN LAST 7 DAYS?
M102,# DAYS OF DIARRHEA IN LAST 7
M103,# BOWEL MOVEMENTS LAST 24 HOURS
M104,MUCUS IN STOOL IN LAST 7 DAYS?
M105,BLOOD IN STOOL IN LAST 7 DAYS?
M106,FEVER WITH DIARRHEA?
M107,VOMITING WITH DIARRHEA?
M108,ABDOMINAL PAIN WITH DIARRHEA?
M1131AB,# OF MONTHS JOGGED
M1131AC,TIMES JOGGED PER MONTH
M1131AD,MINUTES JOGGED PER TIME
M113.1A,JOGGED IN LAST 12 MONTHS?
M113.1B,# OF MONTHS JOGGED
M113.1C,TIMES JOGGED PER MONTH
M113.1D,MINUTES JOGGED PER TIME
M11311A,EXERCISE EQUIPMENT LAST 12M?
M11311B,# OF MONTHS USED EQUIPMENT
M11311C,TIMES EQUIP USED PER MONTH
M11311D,MINUTES EQUIP USED PER TIME
M11312A,PLEASURE WALKING AT LEAST 12 TIMES IN THE LAST 12 MONTHS
M11312B,PLEASURE WALKING - MONTHS
M11312C,PLEASURE WALKING - TIMES PER MONTHS
M11312D,PLEASURE WALKING - MINUTES PER SESSION
M11313A,HEEL-AND-TOE WALK AT LEAST 12 TIMES IN THE LAST 12 MONTHS
M11313B,HEEL-AND-TOE WALK - MONTHS
M11313C,HEEL-AND-TOE WALK - TIMES PER MONTHS
M11313D,HEEL-AND-TOE WALK - MINUTES PER SESSION
M11314A,BICYCLING AT LEAST 12 TIMES IN THE LAST 12 MONTHS
M11314B,BICYCLING - MONTHS
M11314C,BICYCLING - TIMES PER MONTHS
M11314D,BICYCLING - MINUTES PER SESSION
M113.2A,SWAM IN LAST 12 MONTHS?
M113.2B,# OF MONTHS SWAM
M113.2C,# OF MONTHS SWAM
M113.2D,MINUTES SWAM PER TIME
M113.3A,DANCED IN LAST 12 MONTHS?
M113.3B,# OF MONTHS DANCED
M113.3C,TIMES DANCED PER MONTH
M113.3D,MINUTES DANCED PER TIME
M113.4A,BASKETBALL IN LAST 12 MONTHS?
M113.4B,# OF MONTHS BASKETBALL
M113.4C,TIMES BASKETBALL PER MONTH
M113.4D,MINUTES BASKETBALL PER TIME
M113.5A,BADMINTON IN LAST 12 MONTHS?
M113.5B,# OF MONTHS BADMINTON
M113.5C,TIMES BADMINTON PER MONTH
M113.5D,MINUTES BADMINTON PER TIME
M11351A,BOXED IN LAST 12 MONTHS?
M11351B,# OF MONTHS BOXED
M11351C,TIMES BOXED PER MONTH
M11351D,MINUTES BOXED PER TIME
M113.6A,OTHER ACTIV. IN LAST 12M?
M113.6B,# OF MONTHS OTHER ACTIVITY
M113.6C,TIMES OTHER ACTIV. PER MONTH
M113.6D,MINUTES OTHER ACTIV. PER TIME
M114,SELF-CHARACTERIZATION EXERCISE
M115,DRAWING RESEMBLING R
M116,DRAWING R WOULD LIKE
M117,DIETED IN LAST 12 MONTHS?
M118,R`S JUDGMENT OF WEIGHT
M119,R`S JUDGMENT OF ACTIVITY
M119.1A,HOURS WATCHING TV DAILY
M119.1B,MINUTES WATCHING TV DAILY
M120,TELEVISION VIEWING RESTRICTED?
M121,FAVORITE TV CHANNEL
M123,R`S FAVORITE PROGRAM TYPE
M123101,FREQUENCY WATCHES SPORTS
M123102,FREQUENCY WATCHES MUSIC
M123103,FREQUENCY WATCHES NEWS
M123104,FREQUENCY WATCHES CARTOONS
M123105,FREQUENCY WATCHES TALK SHOWS
M123106,FREQUENCY WATCHES MOVIES
M123107,FREQ. WATCHES ENTERTAINMENT
M123108,FREQ. WATCHES SCIENCE_EDUC.
M123109,FREQUENCY WATCHES COMMERCIALS
M123110,FREQUENCY WATCHES TV SERIES
M129,DIETED TO LOOK LIKE MOVIE STAR?
M130,SPORTS TO LOOK LIKE MOVIE STAR?
M132,HOW SATISFIED YOU ARE WITH YOUR LIFE IN GENERAL AT PRESENT MOMENT?
M146,NERVOUS DISORDER L12M?
M154,"HOW MANY TIMES IN THE LAST 30 DAYS YOU DRANK FAKE, IN YOUR OPINION, ALCOHOLIC BEVERAGES?"
M155.1,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL ACCEPTABLE PRICE"
M155.2,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL GO QUALITY"
M155.3,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL KNOWN BRAND"
M155.4,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL PROTECTION AGAINST COUNTERFEITING"
M155.5,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL IT I EASY TO FIND ON SALE"
M155.6,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL RELIABLE SELLER"
M155.7,"US A FIVE-POINT SCALE, TELL ME HOW IMPORTANT TO YOU WHEN CHOOSING ALCOHOL LIK THE TASTE"
M164,"WHAT KIND OF DRINKS YOU PURCHASED DURING THE PAST 30 DAYS, WERE FAKE?"
M166,"HOW BROADLY DO YOU THINK, NOW PREVALENT IN RUSSIA COUNTERFEIT ALCOHOLIC DRIN ON SALE?"
M167,"IN YOUR OPINION, IN THE LAST 2-3 YEARS ON SALE HAS BECOME MORE OR LESS FAKE ALCOHOL THAN BEFORE?"
M168.1,HOW MUCH YOU AGREE OR DISAGREE WITH THE FOLLOWING STATEMENT: FAKE ALCOHOL C LEAD TO DEATH
M168.2,HOW MUCH YOU AGREE OR DISAGREE WITH THE FOLLOWING STATEMENT: FAKE ALCOHOL I CHEAPER
M168.3,HOW MUCH YOU AGREE OR DISAGREE WITH THE FOLLOWING STATEMENT: MOST ALCOHOLI DRINKS ON SALE ARE FAKE
M168.4,HOW MUCH YOU AGREE OR DISAGREE WITH THE STATEMENT: DOMESTIC COUNTERFEIT ALCOHOL MORE OFTEN THAN IMPORTED
M170,"THE LAST QUESTION OF THE INTERVIEW. PLEASE TELL ME, ARE YOU HAPPY?"
FF,RESPONDENTS INTERVIEWED BY WOMEN`S QUESTIONNAIRE
N1.1,CHILDREN <10 YEARS PRESENT?
N1.2,CHILDREN >10 YEARS PRESENT?
N1.3,PARENTS PRESENT?
N1.4,HUSBAND OR PARTNER PRESENT?
N1.5,OTHER MEN PRESENT?
N1.6,OTHER WOMEN PRESENT?
N2,EVER MENSTRUATED?
N3,AGE AT 1ST RESP MENSTRUAL PERIOD--ADULT QUESTIONNAIRE
N4,EVER BEEN PREGNANT?
N5,EVER GIVEN BIRTH--ONLY WHEN THE BABY WAS BORN ALIVE?
N5.0,EVER GIVEN BIRTH--WITH TIMES THE BABY DID NOT LIVE LONG OR WAS STILL-BORN?
N6,GIVEN BIRTH IN LAST 12 MONTHS?
N6_2Y,GIVEN BIRTH IN LAST 24 MONTHS?
N6.1,# OF BIRTHS IN LAST 12 MONTHS
N6.1_2Y,# OF BIRTHS IN LAST 24 MONTHS
N7,SAW A DOCTOR FOR LAST PREGNANCY?
N8,TRIMESTER FIRST SAW DOCTOR
N9,TYPE OF MEDICAL FACILITY--PREG.
N10,CARETAKER DURING LAST PREGNANCY
N11,LOCATION OF LAST BIRTH
N12,ANY COMPLICATIONS AFTER LAST BIRTH?
N14,MONTH IN WHICH BABY WAS BORN
N15,CURRENTLY BREAST-FEEDING?
N16,EVER BREAST-FED?
N17,NUMBER OF MONTHS BREAST-FED
N17.1,WANTS TO HAVE ANOTHER CHILD?
N17.2,# OF ADD`L CHILDREN WANTED
N17.3,YEARS UNTIL NEXT PLANNED BIRTH
N17.4,EVER GIVEN BIRTH TO GIRLS?
N17.5,NUMBER OF GIRLS BORN ALIVE
N18,NUMBER OF DAUGHTERS NOW LIVING
N18.1,EVER GIVEN BIRTH TO BOYS?
N18.2,NUMBER OF BOYS BORN ALIVE
N19,NUMBER OF SONS NOW LIVING
N20,EVER HAD A CHILD DIE AFTER BIRTH?
N21,NUMBER OF DAUGHTERS WHO DIED
N22,NUMBER OF SONS WHO DIED
N23,EVER HAD A STILLBIRTH?
N23.1,HAD A STILLBIRTH--IN LAST 12 MONTHS?
N24,NUMBER OF STILLBIRTHS
N25,TOTAL NUMBER OF BIRTHS--WITHOUT MISCARRIAGES AT <7 MONTHS
N25.1,TOTAL NUMBER OF BIRTHS--WITHOUT STILLBORN AND MISCARRIAGES AT <7 MONTHS
N26,"MISCARRIED IN LAST 12 MONTHS? No miscarriages,"
N26.1,MISCARRIED IN LAST 24 MONTHS?
N26.0,EVER A MISCARRIAGE AT <7 MONTHS?
N27,NUMBER OF MISCARRIAGES LAST 12M--A.N27
N27.0,NUMBER OF MISCARRIAGES
N28,EVER HAD AN ABORTION?
N29,TOTAL NUMBER OF ABORTIONS
N30,HAD AN ABORTION IN THE LAST 12M?
N30_2Y,HAD AN ABORTION IN THE LAST 24M?
N31,NUMBER OF ABORTIONS IN LAST 12M
N31_2Y,NUMBER OF ABORTIONS IN LAST 24M
N31.1,COUNTED MINI-ABORTIONS?
N31.2,HAD A MINI-ABORTION IN L12M?
N312_2Y,HAD A MINI-ABORTION IN L24M?
N31.3,NUMBER OF MINI-ABORTIONS L12M
N313_2Y,NUMBER OF MINI-ABORTIONS L24M
N31.4,TYPE OF MOST RECENT ABORTION--THE LAST 12M?
N314_2Y,TYPE OF MOST RECENT ABORTION--THE LAST 24M?
N32,FACILITY WHERE ABORTION PERFORMED
N33,WHO PERFORMED THE ABORTION
N34,ANY COMPLICATIONS AFTER ABORTION?
N35,PAID FOR THE ABORTION?
N36,AMOUNT PAID FOR THE ABORTION
N361.1A,PAID CASHIER FOR ABORTION?
N361.1B,AMT PAID CASHIER ABORTION
N361.2A,PAID PERSONL FOR ABORTION?
N361.2B,AMT PAID PERSONL ABORTION
N37,HAS MENSTRUAL CYCLE NOW?
N38,USED B_CONTROL IN LAST 30 DAYS?
N39,MOST FREQUENT B_CONTROL LAST 30D
N40,WHERE LEARNED OF B_CONTROL METHOD
N41,USED OTHER B_CONTROL IN LAST 30D?
N42,NEXT FREQUENT B_CONTROL LAST 30D
N43,TIMES NO B_CONTROL LAST 30 DAYS?
N44,WHY NO B_CONTROL IN LAST 30 DAYS
N45,OTHER REASONS NO B_C LAST 30D?
N46,WHY NO B_CONTROL IN LAST 30 DAYS
N47,WANTS (ANOTHER) CHILD?
N48,NUMBER OF ADDITIONAL CHILDREN
J721717,HOW MANY CHILDREN WOULD YOU LIKE TO HAVE?
N49,NUMBER OF YEARS UNTIL NEXT CHILD
J721719,IMPACT OF THE LAW ON MATERNITY CAPITAL TO THE DESIRED NUMBER OF CHILDREN
N50,REASON MENSTRUATION STOPPED
N51,SAW A DOCTOR FOR THIS PREGNANCY?
N52,TRIMESTER FIRST SAW DOCTOR
N53,TYPE OF MEDICAL FACILITY--PREG.
N54,CARETAKER DURING THIS PREGNANCY
N55,WILL GIVE BIRTH_HAVE ABORTION
N56,WANTS MORE CHILDREN?
N57,NUMBER OF ADDITIONAL CHILDREN
N58,NUMBER OF YEARS UNTIL NEXT CHILD
N59,AGE WHEN MENSTRUATION STOPPED
N60,CURRENTLY PREGNANT?
N61M,MONTH CHILD IS EXPECTED
N61Y,YEAR CHILD IS EXPECTED
N62,"HOW MUCH WAS YOUR AVERAGE MONTHLY WAGE, IF YOU WORKED, BEFORE MATERNITY LEAVE?"
N63,"AFTER 1ST JANUARY OF 2007 YEAR DID YOU PERSONALLY ADOPT THE SECOND, THE THIRD NEXT CHILD?"
N64,HAS THE OPPORTUNITY OF MC GETTING INFLUENCED ON YOUR DECISION TO GIVE BIRTH/ADOPT (ONE MORE) CHILD JUST NOW?
N65,USE MC_TRANSFER MONEY TO CUMULATIVE PART OF PENSION OR SPEND IT FOR IMPROV OF LIVING COND OR CHILDS EDUC?
N66.1,YOU LEAVE MONEY OF MC IN CUMULATIVE PART OF PENSION BEFORE PENSION AGE
